date,PM10,site,code
1555646400.0,44.37,Strathfoyle Bawnmore Place,1
1555650000.0,46.76,Strathfoyle Bawnmore Place,1
1555653600.0,88.54,Strathfoyle Bawnmore Place,1
1555657200.0,85.12,Strathfoyle Bawnmore Place,1
1555660800.0,53.2,Strathfoyle Bawnmore Place,1
1555664400.0,56.31,Strathfoyle Bawnmore Place,1
1555668000.0,39.15,Strathfoyle Bawnmore Place,1
1555671600.0,43.8,Strathfoyle Bawnmore Place,1
1555675200.0,48.89,Strathfoyle Bawnmore Place,1
1555678800.0,43.31,Strathfoyle Bawnmore Place,1
1555682400.0,34.59,Strathfoyle Bawnmore Place,1
1555686000.0,39.38,Strathfoyle Bawnmore Place,1
1555689600.0,50.79,Strathfoyle Bawnmore Place,1
1555693200.0,48.0,Strathfoyle Bawnmore Place,1
1555696800.0,48.22,Strathfoyle Bawnmore Place,1
1555700400.0,44.79,Strathfoyle Bawnmore Place,1
1555704000.0,21.02,Strathfoyle Bawnmore Place,1
1555707600.0,28.1,Strathfoyle Bawnmore Place,1
1555711200.0,27.1,Strathfoyle Bawnmore Place,1
1555714800.0,26.44,Strathfoyle Bawnmore Place,1
1555718400.0,26.49,Strathfoyle Bawnmore Place,1
1555722000.0,30.11,Strathfoyle Bawnmore Place,1
1555725600.0,18.99,Strathfoyle Bawnmore Place,1
1555729200.0,16.35,Strathfoyle Bawnmore Place,1
1555732800.0,21.7,Strathfoyle Bawnmore Place,1
1555736400.0,20.16,Strathfoyle Bawnmore Place,1
1555740000.0,27.38,Strathfoyle Bawnmore Place,1
1555743600.0,27.57,Strathfoyle Bawnmore Place,1
1555747200.0,29.43,Strathfoyle Bawnmore Place,1
1555750800.0,31.95,Strathfoyle Bawnmore Place,1
1555754400.0,46.69,Strathfoyle Bawnmore Place,1
1555758000.0,38.75,Strathfoyle Bawnmore Place,1
1555761600.0,40.59,Strathfoyle Bawnmore Place,1
1555765200.0,17.47,Strathfoyle Bawnmore Place,1
1555768800.0,17.84,Strathfoyle Bawnmore Place,1
1555772400.0,,Strathfoyle Bawnmore Place,1
1555776000.0,18.97,Strathfoyle Bawnmore Place,1
1555779600.0,19.9,Strathfoyle Bawnmore Place,1
1555783200.0,19.34,Strathfoyle Bawnmore Place,1
1555786800.0,21.4,Strathfoyle Bawnmore Place,1
1555790400.0,26.23,Strathfoyle Bawnmore Place,1
1555794000.0,29.89,Strathfoyle Bawnmore Place,1
1555797600.0,27.9,Strathfoyle Bawnmore Place,1
1555801200.0,28.55,Strathfoyle Bawnmore Place,1
